"행정구역별(1)",행정구역별(2),2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4,2020 3/4,2020 4/4,2021 1/4,2021 2/4
"서울",종로구,92.0,93.3,94.6,95.8,98.4,100.0,103.0,106.3,111.7,115.6,117.9,115.9,120.4,124.6,127.2,129.4,137.3,141.8,148.2,153.1
"서울",중구,89.8,91.4,92.2,93.9,97.5,100.0,105.1,111.0,119.9,125.3,120.7,123.1,127.7,132.6,137.4,142.4,148.7,159.1,166.3,168.5
"서울",용산구,85.6,87.9,88.5,91.2,97.2,100.0,107.0,115.3,124.5,124.7,123.8,124.6,130.8,137.6,140.5,139.2,149.6,156.4,164.9,169.7
"서울",성동구,83.6,86.5,86.3,90.0,95.4,100.0,109.0,116.9,123.5,127.9,122.7,124.8,130.6,138.1,147.2,151.9,163.4,174.3,184.9,190.4
"서울",광진구,87.3,89.3,88.8,90.6,95.1,100.0,107.9,111.8,117.9,121.3,115.3,117.1,124.2,134.5,142.4,143.8,155.0,164.0,170.9,177.4
"서울",동대문구,91.2,92.7,92.8,94.3,97.6,100.0,105.2,112.3,120.4,127.3,123.3,124.5,128.0,132.6,140.3,146.2,155.5,165.2,174.4,177.9
"서울",중랑구,93.1,94.7,94.8,96.3,98.6,100.0,101.9,104.5,111.3,118.3,119.0,119.4,122.3,126.6,133.0,138.9,153.1,163.0,171.1,178.7
"서울",성북구,93.8,95.8,95.5,96.4,98.6,100.0,102.5,107.8,115.9,125.9,121.2,120.6,124.9,130.8,140.2,148.2,163.1,174.4,180.5,187.9
"서울",강북구,94.2,96.5,95.8,96.8,98.8,100.0,100.8,103.4,110.6,119.8,115.1,115.3,118.1,120.4,127.7,136.6,150.2,161.7,170.1,175.1
"서울",도봉구,91.7,93.9,92.9,95.1,99.3,100.0,101.1,102.5,108.9,118.2,116.4,116.2,119.0,122.4,127.0,131.4,147.8,161.5,177.2,186.0
"서울",노원구,88.9,91.8,91.0,93.6,99.3,100.0,102.1,103.7,111.1,120.7,116.9,117.6,122.3,127.5,135.5,142.7,161.2,173.5,188.4,200.9
"서울",은평구,93.9,96.7,96.5,97.8,99.5,100.0,101.5,105.0,111.9,118.1,113.6,116.2,118.9,121.8,125.7,130.5,139.6,150.7,158.2,162.4
"서울",서대문구,91.1,93.3,94.2,95.6,98.5,100.0,103.8,110.3,118.0,124.8,119.1,120.3,125.0,131.1,137.5,142.3,153.1,163.0,170.6,174.7
"서울",마포구,87.7,89.9,89.9,92.8,97.1,100.0,105.8,113.1,120.9,124.6,119.5,122.7,130.1,136.3,141.9,145.9,153.7,161.4,169.9,175.8
