"주택유형별(1)","지역별(1)",지역별(2),지역별(3),지역별(4),2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09
"아파트","서울",소계,소계,소계,98.6,99.0,100.0,100.8,101.7,102.7
"아파트","서울",강북권역,소계,소계,98.7,99.1,100.0,100.8,101.8,102.6
"아파트","서울",강북권역,도심권,소계,99.4,99.6,100.0,100.5,101.3,102.2
"아파트","서울",강북권역,도심권,종로,99.8,99.8,100.0,100.4,101.2,101.8
"아파트","서울",강북권역,도심권,중,99.4,99.5,100.0,100.4,101.0,101.7
"아파트","서울",강북권역,도심권,용산,99.2,99.5,100.0,100.6,101.6,102.6
"아파트","서울",강북권역,동북권,소계,98.6,99.0,100.0,100.9,101.9,102.7
"아파트","서울",강북권역,동북권,성동,99.3,99.5,100.0,100.5,101.0,101.5
"아파트","서울",강북권역,동북권,광진,99.4,99.6,100.0,100.5,101.1,101.4
"아파트","서울",강북권역,동북권,동대문,99.3,99.5,100.0,100.5,101.1,101.8
"아파트","서울",강북권역,동북권,중랑,99.3,99.5,100.0,100.8,101.8,102.6
"아파트","서울",강북권역,동북권,성북,98.9,99.2,100.0,100.7,101.5,102.3
"아파트","서울",강북권역,동북권,강북,99.0,99.2,100.0,100.7,101.4,101.8
"아파트","서울",강북권역,동북권,도봉,98.3,98.9,100.0,101.1,102.4,103.3
"아파트","서울",강북권역,동북권,노원,97.5,98.3,100.0,101.5,103.0,104.2
"아파트","서울",강북권역,서북권,소계,98.9,99.2,100.0,100.6,101.4,102.2
"아파트","서울",강북권역,서북권,은평,99.0,99.4,100.0,100.7,101.6,102.4
"아파트","서울",강북권역,서북권,서대문,99.2,99.4,100.0,100.5,101.1,101.6
"아파트","서울",강북권역,서북권,마포,98.5,99.0,100.0,100.7,101.6,102.4
"아파트","서울",강남권역,소계,소계,98.4,98.9,100.0,100.8,101.7,102.7
"아파트","서울",강남권역,서남권,소계,98.8,99.2,100.0,100.7,101.5,102.4
"아파트","서울",강남권역,서남권,양천,98.6,99.2,100.0,100.5,101.2,101.7
"아파트","서울",강남권역,서남권,강서,99.1,99.4,100.0,100.8,101.8,103.0
"아파트","서울",강남권역,서남권,구로,99.2,99.4,100.0,100.6,101.3,102.3
"아파트","서울",강남권역,서남권,금천,99.2,99.5,100.0,100.6,101.1,102.0
"아파트","서울",강남권역,서남권,영등포,98.8,99.2,100.0,100.8,101.6,102.3
"아파트","서울",강남권역,서남권,동작,98.2,98.7,100.0,100.9,101.8,102.9
"아파트","서울",강남권역,서남권,관악,98.9,99.2,100.0,100.8,101.8,102.5
"아파트","서울",강남권역,동남권,소계,98.0,98.6,100.0,100.9,101.9,103.1
"아파트","서울",강남권역,동남권,서초,97.7,98.4,100.0,100.9,101.9,103.0
"아파트","서울",강남권역,동남권,강남,98.0,98.7,100.0,100.9,102.0,103.3
"아파트","서울",강남권역,동남권,송파,97.9,98.6,100.0,100.9,102.1,103.2
"아파트","서울",강남권역,동남권,강동,98.4,98.8,100.0,100.7,101.5,102.5
"아파트","경기",소계,소계,소계,96.0,97.4,100.0,102.0,104.3,106.3
