,주거용
2011-1분기,6152406
2011-2분기,10206514
2011-3분기,8417587
2011-4분기,12864816
2012-1분기,9201257
2012-2분기,11033416
2012-3분기,9890929
2012-4분기,9088726
2013-1분기,8535799
2013-2분기,10431335
2013-3분기,8960636
2013-4분기,13645453
2014-1분기,9050527
2014-2분기,11901133
2014-3분기,11443349
2014-4분기,13570770
2015-1분기,11790089
2015-2분기,18944829
2015-3분기,15948400
2015-4분기,21483121
2016-1분기,11450429
2016-2분기,18039373
2016-3분기,15451800
2016-4분기,17109450
2017-1분기,11170586
2017-2분기,11585210
2017-3분기,12509162
2017-4분기,13411852
2018-1분기,10220995
2018-2분기,11720914
2018-3분기,8253352
2018-4분기,5737808
2019-1분기,7993428
2019-2분기,10634124
2019-3분기,4903969
2019-4분기,7827195
2020-1분기,6953675
2020-2분기,10783552
2020-3분기,10357072
2020-4분기,12166076
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
