,주택
2011-1분기,5376629
2011-2분기,8916036
2011-3분기,8621079
2011-4분기,14994440
2012-1분기,7808661
2012-2분기,9359305
2012-3분기,8428061
2012-4분기,8656442
2013-1분기,4392699
2013-2분기,6997944
2013-3분기,7056746
2013-4분기,12053905
2014-1분기,6073644
2014-2분기,11110498
2014-3분기,12615439
2014-4분기,12275117
2015-1분기,14288113
2015-2분기,16339742
2015-3분기,19017740
2015-4분기,17386211
2016-1분기,13169303
2016-2분기,17723813
2016-3분기,20068146
2016-4분기,22596527
2017-1분기,12338647
2017-2분기,17510469
2017-3분기,17894772
2017-4분기,20562357
2018-1분기,14450385
2018-2분기,15111598
2018-3분기,12056416
2018-4분기,20604284
2019-1분기,14270370
2019-2분기,16259930
2019-3분기,12106236
2019-4분기,26472799
2020-1분기,14711185
2020-2분기,24197329
2020-3분기,24310859
2020-4분기,31191225
